ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Year of Recruitment,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,event_type__val,event_feedback,linked_search__key,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English
9014696,In selection,26 - 30 years,TROPEA » Vibo-Valentia ~ Calabria,Female,,CHEMISTRY,Management Engineering,Five-year degree,[0],,Contractor: Development IP core,2021,,Junior Validation Engineer,,,,BM interview,,RS21.0554,2 - Medium,,,[0-1],,,,,,26-28 K,,1.0,1.0,2.0,,2.0,1.0,4.0
9014696,In selection,26 - 30 years,TROPEA » Vibo-Valentia ~ Calabria,Female,,CHEMISTRY,Management Engineering,Five-year degree,[0],,Contractor: Development IP core,2021,,Junior Validation Engineer,,,,BM interview,OK (live),RS23.0903,3 - High,,,[0-1],,,,,,26-28 K,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9227608,In selection,20 - 25 years,FROSSASCO » Turin ~ Piedmont,Male,,BIOMEDICAL,Mechanical engineering,Five-year degree,[0],Automotive,Fresh graduate,2022,,,,,,Contact note,,,,,,,,,,,,,,,,,,,3.0,
9227608,In selection,20 - 25 years,FROSSASCO » Turin ~ Piedmont,Male,,BIOMEDICAL,Mechanical engineering,Five-year degree,[0],Automotive,Fresh graduate,2022,,,,,,CV request,OK (other candidate),RS23.0903,,,,,,,,,,,,,,,,,,
9227608,In selection,20 - 25 years,FROSSASCO » Turin ~ Piedmont,Male,,BIOMEDICAL,Mechanical engineering,Five-year degree,[0],Automotive,Fresh graduate,2022,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
11188686,Imported,26 - 30 years,MIRANDOLA » Modena ~ Emilia Romagna,Male,,,industrial engineering,Three-year degree,[0],Services and Information Systems,,2023,,,,,,CV request,,,,,,,,,,,,,,,,1.0,,,,
11188686,Imported,26 - 30 years,MIRANDOLA » Modena ~ Emilia Romagna,Male,,,industrial engineering,Three-year degree,[0],Services and Information Systems,,2023,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11188686,Imported,26 - 30 years,MIRANDOLA » Modena ~ Emilia Romagna,Male,,,industrial engineering,Three-year degree,[0],Services and Information Systems,,2023,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1235217,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,electronic Engineering,Five-year degree,[0],,,2021,,,,,,CV request,,,,,,,,,,,,,,,,,,,,
1235217,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,electronic Engineering,Five-year degree,[0],,,2021,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7062703,Imported,31 - 35 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[7-10],Space,Mechanical draftsman/designer,2022,,,,,,Candidate notification,KO (manager),,,,,,,30-32K,,,,,,,,,,,,
7062703,Imported,31 - 35 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[7-10],Space,Mechanical draftsman/designer,2022,,,,,,Contact note,,RS22.0290,3 - High,,,,,30-32K,,,,,,,1.0,2.0,,,3.0,3.0
7062703,Imported,31 - 35 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[7-10],Space,Mechanical draftsman/designer,2022,,,,,,Research association,OK (live),RS23.0903,3 - High,,,,,30-32K,,,,,,1.0,,,,,1.0,1.0
7062703,Imported,31 - 35 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[7-10],Space,Mechanical draftsman/designer,2022,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,30-32K,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8313204,First contact,31 - 35 years,POZZOLO FORMIGARO » Alessandria ~ Piedmont,Male,,,Mechanical engineering,Three-year degree,[0],Services and Information Systems,Graduate student,2023,,,,,,Sending SC to customer,,,,,,,,,,,,,,,,,,,,
8313204,First contact,31 - 35 years,POZZOLO FORMIGARO » Alessandria ~ Piedmont,Male,,,Mechanical engineering,Three-year degree,[0],Services and Information Systems,Graduate student,2023,,,,,,HR interview,,,,,,,,,,,,,,,3.0,1.0,,,,
508713,In selection,20 - 25 years,GROTTAMINARDA » Avellino ~ Campania,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[1-3],Others,Master's degree student,2022,,,,,,Contact note,,RS22.0087,,,,,,,,,,,,,,,,2.0,,3.0
508713,In selection,20 - 25 years,GROTTAMINARDA » Avellino ~ Campania,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[1-3],Others,Master's degree student,2022,,,,,,HR interview,,RS22.1022,,,,,,,,,,,,,1.0,,1.0,,,
508713,In selection,20 - 25 years,GROTTAMINARDA » Avellino ~ Campania,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[1-3],Others,Master's degree student,2022,,,,,,BM interview,OK (live),RS23.0903,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0
