ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
52,In selection,20 - 25 years,Male,,Other,Five-year degree,[0],Others,2018,,,Engineering,,,,,,,,,,Carpeneto,Trieste,Lombardy
26,Imported,26 - 30 years,Female,,Biomedical Engineering,Three-year degree,[1-3],Others,2018,,,,,,,,,,,,,Vighizzolo Di Cantu',Pescara,Lombardy
16,First contact,26 - 30 years,Male,,Other scientific subjects,Five-year degree,[0],Others,2018,,,,,,,,,,,,,St. Michael/Eppan,Treviso,Emilia Romagna
89,First contact,26 - 30 years,Male,,Automotive Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Lauropoli,Teramo,Puglia
15,First contact,40 - 45 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Sant'Antonio In Mercadello,Agrigento,Puglia
76,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Marocco,Bergamo,Piedmont
37,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Mitterdorf,Caserta,Calabria
38,First contact,20 - 25 years,Male,,computer engineering,Three-year degree,[3-5],,2018,,,,,,,,,,,,,Ariano Irpino Stazione,Caserta,Puglia
39,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2018,,,,,,,,,,The Eagle,,,Girifalco,Trieste,Umbria
81,Imported,20 - 25 years,Male,,Materials Science and Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Iola Di Montese,Rovigo,Piedmont
51,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Scandolara Ripa D'Oglio,Vercelli,Puglia
131,In selection,20 - 25 years,Male,,industrial engineering,Five-year degree,[0],,2018,,,,,,,,,,Turin,,,Fagare' Della Battaglia,Grosseto,Campania
66,In selection,26 - 30 years,Female,,electronic Engineering,Five-year degree,[0],Oil and Gas,2018,,,,,,,,,,,,,Portonovo,Pescara,Veneto
63,Hired,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],Naval,2018,,,,,,,,,,,,40-42 K,Misserio,Enna,Umbria
44,First contact,20 - 25 years,Male,,Energy and Nuclear Engineering,Three-year degree,[5-7],,2018,,,,,,,,,,,,,Cruillas,Ogliastra,Piedmont
