ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Year of Recruitment,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,event_type__val,event_feedback,linked_search__key,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English
22,Imported,36 - 40 years,MACOMER » Nuoro ~ Sardinia,Male,,"LINUX, PYTHON, EXCEL, POWER BI, C, PYTHON, E MOBILITY, PM",Biomedical Engineering,Three-year degree,[0],,Process Engineer,2023,,,,,,CV request,OK (live),,,,,,,,,,,,,,,,,,,
22,Imported,36 - 40 years,MACOMER » Nuoro ~ Sardinia,Male,,"LINUX, PYTHON, EXCEL, POWER BI, C, PYTHON, E MOBILITY, PM",Biomedical Engineering,Three-year degree,[0],,Process Engineer,2023,,,,,,BM interview,OK (live),RS22.0441,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Imported,31 - 35 years,ROME » Rome ~ Lazio,Female,,,Automotive Engineering,High school graduation,[+10],,,2019,,,,,,BM interview,,,,,,,,,,,,,Not available,3.0,2.0,,,,,2.0
9,Imported,31 - 35 years,ROME » Rome ~ Lazio,Female,,,Automotive Engineering,High school graduation,[+10],,,2019,,,,,,BM interview,OK (live),RS22.0441,3 - High,,,,,,,,,,Not available,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,In selection,26 - 30 years,PERUGIA » Perugia ~ Umbria,Male,,,Management Engineering,Five-year degree,[0],,E&I Commissioning Site Coordinator,2021,,,,,,CV request,,,,"The resource will be responsible for developing the power transmission system for thermal, electric and hybrid powertrains for sports and luxury road vehicles. Specifically, it will carry out activities of: - Responsible for the complete design and release for transmission components - Development of technical requirements for each component and subsystem - Support for the development of concepts and layout studies for new transmissions/axles/differentials - Modification of layout of existing transmissions. - Release of geometries and validation of components - DFMEA analysis and evaluation of the robustness of the parts - IFMEA analysis - Supplier management - Drafting of documentation and technical reports",,,Not Avail.,,,,Milan,Not available,28-30 K,2.0,,,,,,
36,In selection,26 - 30 years,PERUGIA » Perugia ~ Umbria,Male,,,Management Engineering,Five-year degree,[0],,E&I Commissioning Site Coordinator,2021,,,,,,BM interview,OK (live),,,"The resource will be responsible for developing the power transmission system for thermal, electric and hybrid powertrains for sports and luxury road vehicles. Specifically, it will carry out activities of: - Responsible for the complete design and release for transmission components - Development of technical requirements for each component and subsystem - Support for the development of concepts and layout studies for new transmissions/axles/differentials - Modification of layout of existing transmissions. - Release of geometries and validation of components - DFMEA analysis and evaluation of the robustness of the parts - IFMEA analysis - Supplier management - Drafting of documentation and technical reports",,,Not Avail.,,,,Milan,Not available,28-30 K,1.0,1.0,1.0,1.0,3.0,1.0,1.0
36,In selection,26 - 30 years,PERUGIA » Perugia ~ Umbria,Male,,,Management Engineering,Five-year degree,[0],,E&I Commissioning Site Coordinator,2021,,,,,,BM interview,OK (live),RS22.0441,3 - High,"The resource will be responsible for developing the power transmission system for thermal, electric and hybrid powertrains for sports and luxury road vehicles. Specifically, it will carry out activities of: - Responsible for the complete design and release for transmission components - Development of technical requirements for each component and subsystem - Support for the development of concepts and layout studies for new transmissions/axles/differentials - Modification of layout of existing transmissions. - Release of geometries and validation of components - DFMEA analysis and evaluation of the robustness of the parts - IFMEA analysis - Supplier management - Drafting of documentation and technical reports",,,Not Avail.,,,,Milan,Not available,28-30 K,1.0,1.0,1.0,1.0,1.0,1.0,
36,In selection,26 - 30 years,PERUGIA » Perugia ~ Umbria,Male,,,Management Engineering,Five-year degree,[0],,E&I Commissioning Site Coordinator,2021,,,,,,BM interview,OK (live),RS22.0441,3 - High,"The resource will be responsible for developing the power transmission system for thermal, electric and hybrid powertrains for sports and luxury road vehicles. Specifically, it will carry out activities of: - Responsible for the complete design and release for transmission components - Development of technical requirements for each component and subsystem - Support for the development of concepts and layout studies for new transmissions/axles/differentials - Modification of layout of existing transmissions. - Release of geometries and validation of components - DFMEA analysis and evaluation of the robustness of the parts - IFMEA analysis - Supplier management - Drafting of documentation and technical reports",,,Not Avail.,,,,Milan,Not available,28-30 K,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,In selection,26 - 30 years,PERUGIA » Perugia ~ Umbria,Male,,,Management Engineering,Five-year degree,[0],,E&I Commissioning Site Coordinator,2021,,,,,,BM interview,OK (live),RS22.0441,3 - High,"The resource will be responsible for developing the power transmission system for thermal, electric and hybrid powertrains for sports and luxury road vehicles. Specifically, it will carry out activities of: - Responsible for the complete design and release for transmission components - Development of technical requirements for each component and subsystem - Support for the development of concepts and layout studies for new transmissions/axles/differentials - Modification of layout of existing transmissions. - Release of geometries and validation of components - DFMEA analysis and evaluation of the robustness of the parts - IFMEA analysis - Supplier management - Drafting of documentation and technical reports",,,Not Avail.,,,,Milan,Not available,28-30 K,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,In selection,36 - 40 years,ROME » Rome ~ Lazio,Female,,,Biomedical Engineering,Three-year degree,[0],Services and Information Systems,,2022,,,Rome,Engineering,,CV request,,,,,,,,,,,,,,,,2.0,,,2.0,
65,In selection,36 - 40 years,ROME » Rome ~ Lazio,Female,,,Biomedical Engineering,Three-year degree,[0],Services and Information Systems,,2022,,,Rome,Engineering,,BM interview,OK,RS22.0441,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Imported,< 20 years,POLLA » Salerno ~ Campania,Male,,"MATLAB, SIMULINK, PYTHON, GIT, DOCKER, PYTHON, C, C++, MATLAB, SIMULINK",electronic Engineering,Five-year degree,[0-1],Consulting,Electrical & Instrument Superintendency,2018,,,,,,Candidate notification,,RS22.1031,,,,[1-3],,,,,,,,,,,,,,
51,Imported,< 20 years,POLLA » Salerno ~ Campania,Male,,"MATLAB, SIMULINK, PYTHON, GIT, DOCKER, PYTHON, C, C++, MATLAB, SIMULINK",electronic Engineering,Five-year degree,[0-1],Consulting,Electrical & Instrument Superintendency,2018,,,,,,Contact note,,,,,,[1-3],,,,,,,,,1.0,,,,,3.0
51,Imported,< 20 years,POLLA » Salerno ~ Campania,Male,,"MATLAB, SIMULINK, PYTHON, GIT, DOCKER, PYTHON, C, C++, MATLAB, SIMULINK",electronic Engineering,Five-year degree,[0-1],Consulting,Electrical & Instrument Superintendency,2018,,,,,,Contact note,OK,RS22.0441,2 - Medium,,,[1-3],,,,,,,,,2.0,,,,3.0,
0,Imported,26 - 30 years,TRIGGIANO » Bari ~ Puglia,Male,,"LINUX, PYTHON, EXCEL, POWER BI, C, PYTHON, E MOBILITY, PM",Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[3-5],Others,,2018,,,,Support,Qualified Consultant,Economic proposal,,,,New graduate candidate (or undergraduate) who will be trained in System Engineering and/or Testing activities,,,,,Three-year degree,,Milan,,,,,,3.0,,,3.0
0,Imported,26 - 30 years,TRIGGIANO » Bari ~ Puglia,Male,,"LINUX, PYTHON, EXCEL, POWER BI, C, PYTHON, E MOBILITY, PM",Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[3-5],Others,,2018,,,,Support,Qualified Consultant,BM interview,OK (live),RS21.1048,3 - High,New graduate candidate (or undergraduate) who will be trained in System Engineering and/or Testing activities,,,,,Three-year degree,,Milan,,,1.0,,1.0,1.0,2.0,1.0,
66,In selection,36 - 40 years,BOLOGNA » Bologna ~ Emilia Romagna,Female,,,Informatics,Three-year degree,[0],,Lead Planner,2022,,,,,,,,,,,Master Degree in Management Engineering or equivalent Project/Program Leader Requirements and Qualifications • Able to work effectively under pressure • Flexible and able to multitask on several different aspects of a project or on multiple projects • Able to produce quality work with strict deadlines English language is mandatory,[0-1],,,,,,,,1.0,,,2.0,,,
66,In selection,36 - 40 years,BOLOGNA » Bologna ~ Emilia Romagna,Female,,,Informatics,Three-year degree,[0],,Lead Planner,2022,,,,,,BM interview,OK,RS22.0441,3 - High,,Master Degree in Management Engineering or equivalent Project/Program Leader Requirements and Qualifications • Able to work effectively under pressure • Flexible and able to multitask on several different aspects of a project or on multiple projects • Able to produce quality work with strict deadlines English language is mandatory,[0-1],,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,In selection,26 - 30 years,CHIVASSO » Turin ~ Piedmont,Female,,,Economic - Statistics,master's degree,[+10],Aeronautics,Fresh graduate,2022,2023,,,,,Contact note,,RS21.1255,4 - Top,,,,,,,,,,,,,,,,,3.0
89,In selection,26 - 30 years,CHIVASSO » Turin ~ Piedmont,Female,,,Economic - Statistics,master's degree,[+10],Aeronautics,Fresh graduate,2022,2023,,,,,Candidate notification,OK (live),RS23.0394,,,,,,,,,,,,,,,,,,
89,In selection,26 - 30 years,CHIVASSO » Turin ~ Piedmont,Female,,,Economic - Statistics,master's degree,[+10],Aeronautics,Fresh graduate,2022,2023,,,,,BM interview,,RS22.0441,3 - High,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
89,In selection,26 - 30 years,CHIVASSO » Turin ~ Piedmont,Female,,,Economic - Statistics,master's degree,[+10],Aeronautics,Fresh graduate,2022,2023,,,,,BM interview,OK (live),RS18.0764,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
6,Imported,26 - 30 years,RUVO DI PUGLIA » Bari ~ Puglia,Male,,"AUTOMATION, E&I COMMISSIONING, WIND AND AERODERIVATIVES, NRG, LNG, FPSO, COMMISSIONING",Mechanical engineering,Five-year degree,[0],,,2019,,,,,,Contact note,OK (live),,,,,,,,,,,20-22 K,,,,,,,,
6,Imported,26 - 30 years,RUVO DI PUGLIA » Bari ~ Puglia,Male,,"AUTOMATION, E&I COMMISSIONING, WIND AND AERODERIVATIVES, NRG, LNG, FPSO, COMMISSIONING",Mechanical engineering,Five-year degree,[0],,,2019,,,,,,BM interview,OK (live),,3 - High,,,,,,,,,20-22 K,,1.0,,1.0,1.0,1.0,1.0,1.0
54,Imported,< 20 years,HIGH BUTTIGLIERA » Turin ~ Piedmont,Male,,,industrial engineering,Five-year degree,[0],Others,,2022,,,,,,CV request,,RS22.1031,,,,,,,,,,,,,,,,,,1.0
54,Imported,< 20 years,HIGH BUTTIGLIERA » Turin ~ Piedmont,Male,,,industrial engineering,Five-year degree,[0],Others,,2022,,,,,,BM interview,OK (live),RS22.0441,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Imported,< 20 years,HIGH BUTTIGLIERA » Turin ~ Piedmont,Male,,,industrial engineering,Five-year degree,[0],Others,,2022,,,,,,BM interview,OK (live),RS22.0441,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Imported,< 20 years,HIGH BUTTIGLIERA » Turin ~ Piedmont,Male,,,industrial engineering,Five-year degree,[0],Others,,2022,,,,,,BM interview,OK (live),RS22.0441,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,In selection,26 - 30 years,NAPLES » Naples ~ Campania,Male,,,industrial engineering,Three-year degree,[0],Others,,2021,2019,Testers,,,Consultant,Candidate notification,,RS22.0865,,,Recruiters,,,26-28K,,,,,,,,,,,,
82,In selection,26 - 30 years,NAPLES » Naples ~ Campania,Male,,,industrial engineering,Three-year degree,[0],Others,,2021,2019,Testers,,,Consultant,BM interview,OK,,3 - High,,Recruiters,,,26-28K,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
